            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.148231285, A.D. 1977-Aug-20 15:33:27.1830,  2.725280311452993E+00,  6.702522405953495E+03,  4.171178836657302E+01,  3.322026196185064E+02,  3.457341045702233E+02, -3.264526643642373E+02,  1.493907145509309E-01,  4.876899679642864E+01,  3.720291805829653E+01, -3.884888943240059E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148242859, A.D. 1977-Aug-20 15:33:28.1830,  2.725278417828339E+00,  6.702523491163583E+03,  4.171177722669536E+01,  3.322026125177648E+02,  3.457341240932731E+02, -3.274526650441182E+02,  1.493904323178478E-01,  4.891829519457223E+01,  3.729499928880044E+01, -3.884893836207754E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148254433, A.D. 1977-Aug-20 15:33:29.1830,  2.725276527260668E+00,  6.702524569342562E+03,  4.171176608074845E+01,  3.322026053813874E+02,  3.457341434716340E+02, -3.284526671211315E+02,  1.493901507171563E-01,  4.906759344467778E+01,  3.738692661380260E+01, -3.884898718227271E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148266007, A.D. 1977-Aug-20 15:33:30.1830,  2.725274639790500E+00,  6.702525640484640E+03,  4.171175492904002E+01,  3.322025982095473E+02,  3.457341627061981E+02, -3.294526705834633E+02,  1.493898697543110E-01,  4.921689154867348E+01,  3.747870009554809E+01, -3.884903589203941E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148277581, A.D. 1977-Aug-20 15:33:31.1830,  2.725272755457788E+00,  6.702526704584579E+03,  4.171174377187555E+01,  3.322025910024188E+02,  3.457341817978569E+02, -3.304526754193207E+02,  1.493895894346742E-01,  4.936618950848198E+01,  3.757031979835757E+01, -3.884908449044693E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148289155, A.D. 1977-Aug-20 15:33:32.1830,  2.725270874301917E+00,  6.702527761637655E+03,  4.171173260955833E+01,  3.322025837601772E+02,  3.457342007475007E+02, -3.314526816169319E+02,  1.493893097635164E-01,  4.951548732602003E+01,  3.766178578861091E+01, -3.884913297658054E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148300729, A.D. 1977-Aug-20 15:33:33.1830,  2.725268996361705E+00,  6.702528811639679E+03,  4.171172144238928E+01,  3.322025764829988E+02,  3.457342195560186E+02, -3.324526891645469E+02,  1.493890307460171E-01,  4.966478500319856E+01,  3.775309813473056E+01, -3.884918134954120E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148312303, A.D. 1977-Aug-20 15:33:34.1830,  2.725267121675412E+00,  6.702529854586996E+03,  4.171171027066723E+01,  3.322025691710613E+02,  3.457342382242987E+02, -3.334526980504384E+02,  1.493887523872656E-01,  4.981408254192257E+01,  3.784425690716515E+01, -3.884922960844551E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148323877, A.D. 1977-Aug-20 15:33:35.1830,  2.725265250280728E+00,  6.702530890476448E+03,  4.171169909468863E+01,  3.322025618245430E+02,  3.457342567532280E+02, -3.344527082629041E+02,  1.493884746922602E-01,  4.996337994409075E+01,  3.793526217837337E+01, -3.884927775242584E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148335451, A.D. 1977-Aug-20 15:33:36.1830,  2.725263382214803E+00,  6.702531919305415E+03,  4.171168791474778E+01,  3.322025544436234E+02,  3.457342751436920E+02, -3.354527197902654E+02,  1.493881976659114E-01,  5.011267721159575E+01,  3.802611402280710E+01, -3.884932578062982E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148347025, A.D. 1977-Aug-20 15:33:37.1830,  2.725261517514223E+00,  6.702532941071760E+03,  4.171167673113672E+01,  3.322025470284831E+02,  3.457342933965751E+02, -3.364527326208695E+02,  1.493879213130397E-01,  5.026197434632365E+01,  3.811681251689569E+01, -3.884937369222061E+03,  9.999999999999998E+99,  9.999999999999998E+99,
