            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.182316933, A.D. 1977-Aug-20 16:22:32.1830,      48.182846,  1.740266894132502E+04,  2.318881075892635E+04,  2.551349941143059E+04,  2.702590203194565E+00,  7.880550119113840E+00,  7.335427456154908E+00,  1.288228026288981E-01,  3.862010464656622E+04,  1.079555055273260E+01,
2443376.183011377, A.D. 1977-Aug-20 16:23:32.1830,      48.182846,  1.756461052754074E+04,  2.366135780056514E+04,  2.595331071549814E+04,  2.695510602615820E+00,  7.871064904608447E+00,  7.325006305884865E+00,  1.309828407427941E-01,  3.926766778210479E+04,  1.078989065222548E+01,
2443376.183705822, A.D. 1977-Aug-20 16:24:32.1830,      48.182846,  1.772613579968328E+04,  2.413334406187575E+04,  2.639250683825528E+04,  2.688710345622289E+00,  7.861855432674229E+00,  7.314918696687304E+00,  1.331417483421572E-01,  3.991489199791274E+04,  1.078425437253041E+01,
2443376.184400266, A.D. 1977-Aug-20 16:25:32.1830,      48.182846,  1.788726104051807E+04,  2.460478573251294E+04,  2.683110731362259E+04,  2.682173701482689E+00,  7.852909983359179E+00,  7.305148846053699E+00,  1.352995308094362E-01,  4.056177890760759E+04,  1.077864810362524E+01,
2443376.185094710, A.D. 1977-Aug-20 16:26:32.1830,      48.182846,  1.804800162347380E+04,  2.507569831830647E+04,  2.726913075819857E+04,  2.675886072420349E+00,  7.844217475327882E+00,  7.295681946283848E+00,  1.374561947163472E-01,  4.120833048134032E+04,  1.077307735867261E+01,
2443376.185789155, A.D. 1977-Aug-20 16:27:32.1830,      48.182846,  1.820837207761658E+04,  2.554609667832738E+04,  2.770659492751241E+04,  2.669833895265115E+00,  7.835767424680454E+00,  7.286504091094824E+00,  1.396117476591322E-01,  4.185454899640699E+04,  1.076754687903838E+01,
2443376.186483600, A.D. 1977-Aug-20 16:28:32.1830,      48.182846,  1.836838614702671E+04,  2.601599505957284E+04,  2.814351676807021E+04,  2.664004553018036E+00,  7.827549906714911E+00,  7.277602208676341E+00,  1.417661981134997E-01,  4.250043699376102E+04,  1.076206072627675E+01,
2443376.187178044, A.D. 1977-Aug-20 16:29:32.1830,      48.182846,  1.852805684513806E+04,  2.648540712943959E+04,  2.857991246556155E+04,  2.658386295198221E+00,  7.819555520417754E+00,  7.268964000552135E+00,  1.439195553068171E-01,  4.314599723969764E+04,  1.075662236281272E+01,
2443376.187872489, A.D. 1977-Aug-20 16:30:32.1830,      48.182846,  1.868739650453662E+04,  2.695434600614364E+04,  2.901579748955762E+04,  2.652968165984441E+00,  7.811775355481016E+00,  7.260577885677284E+00,  1.460718291054465E-01,  4.379123269207773E+04,  1.075123472280588E+01,
2443376.188566933, A.D. 1977-Aug-20 16:31:32.1830,      48.182846,  1.884641682265965E+04,  2.742282428723201E+04,  2.945118663499944E+04,  2.647739939287399E+00,  7.804200961657310E+00,  7.252432949263173E+00,  1.482230299153867E-01,  4.443614647054130E+04,  1.074590027446954E+01,
2443376.189261377, A.D. 1977-Aug-20 16:32:32.1830,      48.182846,  1.900512890378777E+04,  2.789085407632148E+04,  2.988609406074582E+04,  2.642692059995044E+00,  7.796824320277547E+00,  7.244518895876489E+00,  1.503731685946269E-01,  4.508074183023161E+04,  1.074062107494217E+01,
2443376.189955822, A.D. 1977-Aug-20 16:33:32.1830,      48.182846,  1.916354329768025E+04,  2.835844700818922E+04,  3.032053332542535E+04,  2.637815590725437E+00,  7.789637817768471E+00,  7.236826006406869E+00,  1.525222563758163E-01,  4.572502213861214E+04,  1.073539881865654E+01,
2443376.190650266, A.D. 1977-Aug-20 16:34:32.1830,      48.182846,  1.932167003516572E+04,  2.882561427233066E+04,  3.075451742081330E+04,  2.633102163501473E+00,  7.782634221019169E+00,  7.229345098540443E+00,  1.546703047980324E-01,  4.636899085501132E+04,  1.073023488002341E+01,
2443376.191344711, A.D. 1977-Aug-20 16:35:32.1830,      48.182846,  1.947951866096810E+04,  2.929236663509125E+04,  3.118805880293389E+04,  2.628543935831109E+00,  7.775806654456982E+00,  7.222067490414372E+00,  1.568173256465830E-01,  4.701265151257556E+04,  1.072513035113663E+01,
2443376.192039155, A.D. 1977-Aug-20 16:36:32.1830,      48.182846,  1.963709826401784E+04,  2.975871446047091E+04,  3.162116942106989E+04,  2.624133550737065E+00,  7.769148578703899E+00,  7.214984967160880E+00,  1.589633308999088E-01,  4.765600770235101E+04,  1.072008607511233E+01,
2443376.192733599, A.D. 1977-Aug-20 16:37:32.1830,      48.182846,  1.979441750547334E+04,  3.022466772969217E+04,  3.205386074484498E+04,  2.619864100332573E+00,  7.762653770694428E+00,  7.208089750079075E+00,  1.611083326827650E-01,  4.829906305924784E+04,  1.071510267559430E+01,
2443376.193428044, A.D. 1977-Aug-20 16:38:32.1830,      48.182846,  1.995148464465412E+04,  3.069023605961654E+04,  3.248614378952925E+04,  2.615729092585656E+00,  7.756316305145200E+00,  7.201374468199218E+00,  1.632523432249647E-01,  4.894182124967180E+04,  1.071018058288822E+01,
2443376.194122489, A.D. 1977-Aug-20 16:39:32.1830,      48.182845,  2.010830756306764E+04,  3.115542872008701E+04,  3.291802913970505E+04,  2.611722420954635E+00,  7.750130537275095E+00,  7.194832132027610E+00,  1.653953748250495E-01,  4.958428596063289E+04,  1.070532005712793E+01,
2443376.194816933, A.D. 1977-Aug-20 16:40:32.1830,      48.182845,  2.026489378669310E+04,  3.162025465026896E+04,  3.334952697141802E+04,  2.607838336612749E+00,  7.744091086682699E+00,  7.188456109281190E+00,  1.675374398183284E-01,  5.022646089016373E+04,  1.070052120882540E+01,
2443376.195511377, A.D. 1977-Aug-20 16:41:32.1830,      48.182845,  2.042125050667015E+04,  3.208472247405626E+04,  3.378064707292769E+04,  2.604071423010672E+00,  7.738192822295110E+00,  7.182240102439605E+00,  1.696785505487945E-01,  5.086834973890035E+04,  1.069578401711163E+01,
2443376.196205822, A.D. 1977-Aug-20 16:42:32.1830,      48.182845,  2.057738459852572E+04,  3.254884051460438E+04,  3.421139886416165E+04,  2.600416572552947E+00,  7.732430848309002E+00,  7.176178127959163E+00,  1.718187193444840E-01,  5.150995620269499E+04,  1.069110834593740E+01,
2443376.196900266, A.D. 1977-Aug-20 16:43:32.1830,      48.182845,  2.073330264005991E+04,  3.301261680804806E+04,  3.464179141496892E+04,  2.596868965188446E+00,  7.726800491051161E+00,  7.170264497007949E+00,  1.739579584958923E-01,  5.215128396614553E+04,  1.068649395846961E+01,
2443376.197594711, A.D. 1977-Aug-20 16:44:32.1830,      48.182845,  2.088901092800018E+04,  3.347605911645632E+04,  3.507183346225995E+04,  2.593424048736515E+00,  7.721297286691772E+00,  7.164493797594742E+00,  1.760962802371102E-01,  5.279233669694008E+04,  1.068194052989032E+01,
